Image_Index	Label	Score
0	NEUTRAL	0.0009
1	NEUTRAL	0.0008
2	NEUTRAL	0.0016
3	NEUTRAL	0.0017
4	NEUTRAL	0.0007
5	NEUTRAL	0.0007
6	NEUTRAL	0.0020
7	NEUTRAL	0.0016
8	NEUTRAL	0.0016
9	NEUTRAL	0.0008
10	NEUTRAL	0.0018
11	NEUTRAL	0.0015
12	NEUTRAL	0.0008
13	NEUTRAL	0.0019
14	NEUTRAL	0.0012
15	NEUTRAL	0.0010
16	NEUTRAL	0.0019
17	NEUTRAL	0.0013
18	NEUTRAL	0.0009
19	NEUTRAL	0.0012
20	NEUTRAL	0.0008
21	NEUTRAL	0.0013
22	NEUTRAL	0.0011
23	NEUTRAL	0.0012
24	NEUTRAL	0.0007
25	NEUTRAL	0.0007
26	NEUTRAL	0.0009
27	NEUTRAL	0.0010
28	NEUTRAL	0.0017
29	NEUTRAL	0.0017
30	NEUTRAL	0.0011
31	NEUTRAL	0.0009
32	NEUTRAL	0.0007
33	NEUTRAL	0.0009
34	NEUTRAL	0.0010
35	NEUTRAL	0.0009
36	NEUTRAL	0.0007
37	NEUTRAL	0.0008
38	NEUTRAL	0.0012
39	NEUTRAL	0.0016
40	NEUTRAL	0.0009
41	NEUTRAL	0.0007
42	NEUTRAL	0.0010
43	NEUTRAL	0.0007
44	NEUTRAL	0.0010
45	NEUTRAL	0.0010
46	NEUTRAL	0.0012
47	NEUTRAL	0.0011
48	NEUTRAL	0.0012
49	NEUTRAL	0.0006
50	NEUTRAL	0.0016
51	NEUTRAL	0.0009
52	NEUTRAL	0.0010
53	NEUTRAL	0.0009
54	NEUTRAL	0.0019
55	NEUTRAL	0.0010
56	NEUTRAL	0.0011
57	NEUTRAL	0.0020
58	NEUTRAL	0.0011
59	NEUTRAL	0.0011
60	NEUTRAL	0.0011
61	NEUTRAL	0.0013
62	NEUTRAL	0.0006
63	NEUTRAL	0.0012
64	NEUTRAL	0.0022
65	NEUTRAL	0.0004
66	NEUTRAL	0.0014
67	NEUTRAL	0.0012
68	NEUTRAL	0.0011
69	NEUTRAL	0.0012
70	NEUTRAL	0.0005
71	NEUTRAL	0.0008
72	NEUTRAL	0.0010
73	NEUTRAL	0.0019
74	NEUTRAL	0.0011
75	NEUTRAL	0.0022
76	NEUTRAL	0.0009
77	NEUTRAL	0.0016
78	NEUTRAL	0.0010
79	NEUTRAL	0.0013
80	NEUTRAL	0.0008
81	NEUTRAL	0.0016
82	NEUTRAL	0.0007
83	NEUTRAL	0.0010
84	NEUTRAL	0.0014
85	NEUTRAL	0.0015
86	NEUTRAL	0.0007
87	NEUTRAL	0.0010
88	NEUTRAL	0.0016
89	NEUTRAL	0.0011
90	NEUTRAL	0.0011
91	NEUTRAL	0.0010
92	NEUTRAL	0.0013
93	NEUTRAL	0.0009
94	NEUTRAL	0.0006
95	NEUTRAL	0.0009
96	NEUTRAL	0.0008
97	NEUTRAL	0.0010
98	NEUTRAL	0.0008
99	NEUTRAL	0.0011
100	NEUTRAL	0.0011
101	NEUTRAL	0.0008
102	NEUTRAL	0.0014
103	NEUTRAL	0.0019
104	NEUTRAL	0.0012
105	NEUTRAL	0.0011
106	NEUTRAL	0.0010
107	NEUTRAL	0.0014
108	NEUTRAL	0.0010
109	NEUTRAL	0.0008
110	NEUTRAL	0.0008
111	NEUTRAL	0.0012
112	NEUTRAL	0.0014
113	NEUTRAL	0.0011
114	NEUTRAL	0.0014
115	NEUTRAL	0.0016
116	NEUTRAL	0.0015
117	NEUTRAL	0.0014
118	NEUTRAL	0.0008
119	NEUTRAL	0.0014
120	NEUTRAL	0.0010
121	NEUTRAL	0.0016
122	NEUTRAL	0.0008
123	NEUTRAL	0.0015
124	NEUTRAL	0.0014
125	NEUTRAL	0.0020
126	NEUTRAL	0.0024
127	NEUTRAL	0.0008
128	NEUTRAL	0.0023
129	NEUTRAL	0.0015
130	NEUTRAL	0.0013
131	NEUTRAL	0.0009
132	NEUTRAL	0.0016
133	NEUTRAL	0.0010
134	NEUTRAL	0.0026
135	NEUTRAL	0.0026
136	NEUTRAL	0.0006
137	NEUTRAL	0.0024
138	NEUTRAL	0.0015
139	NEUTRAL	0.0023
140	NEUTRAL	0.0008
