Image_Index	Label	Score
0	NEUTRAL	0.0009
1	NEUTRAL	0.0008
2	NEUTRAL	0.0008
3	NEUTRAL	0.0006
4	NEUTRAL	0.0005
5	NEUTRAL	0.0007
6	NEUTRAL	0.0007
7	NEUTRAL	0.0005
8	NEUTRAL	0.0007
9	NEUTRAL	0.0007
10	NEUTRAL	0.0008
11	NEUTRAL	0.0008
12	NEUTRAL	0.0009
13	NEUTRAL	0.0011
14	NEUTRAL	0.0013
15	NEUTRAL	0.0013
16	NEUTRAL	0.0020
17	NEUTRAL	0.0024
18	NEUTRAL	0.0020
19	NEUTRAL	0.0021
20	NEUTRAL	0.0015
21	NEUTRAL	0.0018
22	NEUTRAL	0.0022
23	NEUTRAL	0.0020
24	NEUTRAL	0.0016
25	NEUTRAL	0.0012
26	NEUTRAL	0.0009
27	NEUTRAL	0.0010
28	NEUTRAL	0.0012
29	NEUTRAL	0.0015
30	NEUTRAL	0.0019
31	NEUTRAL	0.0012
32	NEUTRAL	0.0016
33	NEUTRAL	0.0011
34	NEUTRAL	0.0013
35	NEUTRAL	0.0013
36	NEUTRAL	0.0014
37	NEUTRAL	0.0010
38	NEUTRAL	0.0008
39	NEUTRAL	0.0008
40	NEUTRAL	0.0006
41	NEUTRAL	0.0006
42	NEUTRAL	0.0005
43	NEUTRAL	0.0007
44	NEUTRAL	0.0008
45	NEUTRAL	0.0009
46	NEUTRAL	0.0007
47	NEUTRAL	0.0007
48	NEUTRAL	0.0007
49	NEUTRAL	0.0007
50	NEUTRAL	0.0007
51	NEUTRAL	0.0007
52	NEUTRAL	0.0006
53	NEUTRAL	0.0006
54	NEUTRAL	0.0006
55	NEUTRAL	0.0007
56	NEUTRAL	0.0008
57	NEUTRAL	0.0010
58	NEUTRAL	0.0010
59	NEUTRAL	0.0013
60	NEUTRAL	0.0016
61	NEUTRAL	0.0019
62	NEUTRAL	0.0018
63	NEUTRAL	0.0017
64	NEUTRAL	0.0016
65	NEUTRAL	0.0014
66	NEUTRAL	0.0012
67	NEUTRAL	0.0013
68	NEUTRAL	0.0013
69	NEUTRAL	0.0013
70	NEUTRAL	0.0013
71	NEUTRAL	0.0013
72	NEUTRAL	0.0014
73	NEUTRAL	0.0018
74	NEUTRAL	0.0017
75	NEUTRAL	0.0016
76	NEUTRAL	0.0016
77	NEUTRAL	0.0014
78	NEUTRAL	0.0015
79	NEUTRAL	0.0015
80	NEUTRAL	0.0015
81	NEUTRAL	0.0015
82	NEUTRAL	0.0017
83	NEUTRAL	0.0017
84	NEUTRAL	0.0015
85	NEUTRAL	0.0018
86	NEUTRAL	0.0014
87	NEUTRAL	0.0015
88	NEUTRAL	0.0011
89	NEUTRAL	0.0010
90	NEUTRAL	0.0008
91	NEUTRAL	0.0009
92	NEUTRAL	0.0007
93	NEUTRAL	0.0007
94	NEUTRAL	0.0007
95	NEUTRAL	0.0007
96	NEUTRAL	0.0010
97	NEUTRAL	0.0009
98	NEUTRAL	0.0011
99	NEUTRAL	0.0011
100	NEUTRAL	0.0012
101	NEUTRAL	0.0013
102	NEUTRAL	0.0018
103	NEUTRAL	0.0021
104	NEUTRAL	0.0019
105	NEUTRAL	0.0014
106	NEUTRAL	0.0015
107	NEUTRAL	0.0017
108	NEUTRAL	0.0018
109	NEUTRAL	0.0015
110	NEUTRAL	0.0015
111	NEUTRAL	0.0014
112	NEUTRAL	0.0013
113	NEUTRAL	0.0016
114	NEUTRAL	0.0015
115	NEUTRAL	0.0017
116	NEUTRAL	0.0010
117	NEUTRAL	0.0013
118	NEUTRAL	0.0012
119	NEUTRAL	0.0013
120	NEUTRAL	0.0015
121	NEUTRAL	0.0011
122	NEUTRAL	0.0011
123	NEUTRAL	0.0010
124	NEUTRAL	0.0013
125	NEUTRAL	0.0014
126	NEUTRAL	0.0015
127	NEUTRAL	0.0015
128	NEUTRAL	0.0012
129	NEUTRAL	0.0015
130	NEUTRAL	0.0015
131	NEUTRAL	0.0016
132	NEUTRAL	0.0017
133	NEUTRAL	0.0017
134	NEUTRAL	0.0016
135	NEUTRAL	0.0016
136	NEUTRAL	0.0017
137	NEUTRAL	0.0013
138	NEUTRAL	0.0012
139	NEUTRAL	0.0010
140	NEUTRAL	0.0009
